,Unnamed: 0,areaWithType,transaction,poss_by(year),Month,Floor_no,Total_floors,furnishing,facing,Property_type,Property_type2,Property_category,Property_location,Area,price_per_sqft(₹),Price(₹)
0,0,Carpet Area,New Property,2024,October,5,10,Unfurnished,West,BHK,2,Apartment,Dindoli Surat,644,2891,1861804
1,1,Super Area,New Property,2026,January,6,14,Unfurnished,South,BHK,2,Apartment,Althan Surat,1278,3551,4538178
2,2,Super Area,Resale,2024,Instant,5,13,Semi-Furnished,East,BHK,2,Apartment,Pal Gam Surat,1173,3800,4457400
3,3,Carpet Area,New Property,2024,Instant,6,14,Unfurnished,East,BHK,2,Apartment,Jahangirabad Surat,700,3966,2776200
4,4,Carpet Area,New Property,2025,December,3,14,Unfurnished,East,BHK,2,Apartment,Palanpur Surat,720,3200,2304000
5,5,Carpet Area,New Property,2025,December,6,13,Unfurnished,East,BHK,2,Apartment,Jahangirabad Surat,748,3235,2419780
6,6,Carpet Area,Resale,2024,Instant,1,1,Unfurnished,East,BHK,1,House,Kim Surat,480,2315,1111200
7,7,Carpet Area,Resale,2024,Instant,7,10,Unfurnished,East,BHK,2,Apartment,NavYug College Surat,1650,3125,5156250
8,8,Super Area,Resale,2024,Instant,1,13,Furnished,East,BHK,2,Apartment,Adajan Surat,847,5903,4999841
9,9,Super Area,New Property,2026,February,5,13,Unfurnished,North,BHK,3,Apartment,Dindoli Surat,1511,2368,3578048
10,10,Carpet Area,New Property,2024,Instant,3,5,Furnished,East,BHK,3,Apartment,Mota Varachha Surat,1000,3185,3185000
11,11,Carpet Area,Resale,2024,Instant,2,5,Unfurnished,East,BHK,1,Apartment,Ramnagar Surat,731,2736,2000016
12,12,Carpet Area,Resale,2024,Instant,5,5,Unfurnished,West,BHK,2,Builder Floor,Amroli Surat,950,2829,2687550
13,13,Carpet Area,New Property,2024,Instant,0,1,Unfurnished,West,BHK,1,House,Palsana Surat,432,3009,1299888
14,14,Carpet Area,Resale,2024,Instant,1,5,Unfurnished,East,BHK,3,Apartment,Jahangirabad Surat,910,2857,2599870
15,15,Super Area,New Property,2024,Instant,7,14,Unfurnished,South,BHK,2,Apartment,Palanpur Surat,1250,3325,4156250
16,16,Super Area,Resale,2024,Instant,9,14,Unfurnished,South,BHK,2,Apartment,Shivalik Height Surat,1105,3842,4245410
17,17,Super Area,New Property,2026,December,5,12,Unfurnished,East,BHK,2,Apartment,Althan Surat,1305,3678,4799790
18,18,Super Area,Resale,2024,Instant,5,13,Furnished,East,BHK,2,Apartment,Palanpur Surat,1290,3488,4499520
19,19,Super Area,New Property,2025,April,6,13,Unfurnished,South,BHK,2,Apartment,Bamroli Surat,975,3282,3199950
20,20,Super Area,New Property,2024,Instant,7,14,Unfurnished,East,BHK,2,Apartment,Jahangirabad Surat,1250,2800,3500000
21,21,Carpet Area,New Property,2025,January,7,14,Unfurnished,South,BHK,2,Apartment,Godadara Surat,725,3500,2537500
22,22,Super Area,Resale,2024,Instant,1,5,Unfurnished,North,BHK,3,Apartment,Palanpur Surat,1558,3017,4700486
23,23,Carpet Area,New Property,2024,Instant,7,13,Unfurnished,East,BHK,2,Apartment,Jahangirabad Surat,727,3075,2235525
24,24,Super Area,Resale,2024,Instant,9,14,Unfurnished,East,BHK,2,Apartment,Palanpur Surat,1326,3771,5000346
25,25,Super Area,Resale,2024,Instant,10,14,Unfurnished,East,BHK,2,Apartment,Jahangirabad Surat,1178,3099,3650622
26,26,Super Area,Resale,2024,Instant,7,14,Unfurnished,South,BHK,3,Apartment,Jahangir Pura Surat,1900,2632,5000800
27,27,Carpet Area,New Property,2026,January,6,14,Unfurnished,East,BHK,2,Apartment,Bamroli Surat,680,3747,2547960
28,28,Carpet Area,Resale,2024,Instant,3,5,Semi-Furnished,East,BHK,2,Apartment,Jahangirabad Surat,721,2936,2116856
29,29,Carpet Area,Resale,2024,December,13,14,Unfurnished,East,BHK,2,Apartment,Swagat Home Surat,545,3451,1880795
30,30,Super Area,New Property,2025,August,4,14,Unfurnished,East,BHK,1,Apartment,Palanpur Surat,813,3507,2851191
31,31,Super Area,New Property,2024,July,5,13,Unfurnished,East,BHK,1,Apartment,Palanpur Surat,990,2828,2799720
32,32,Carpet Area,Resale,2024,Instant,5,12,Furnished,East,BHK,1,Apartment,Jahangir Pura Surat,500,3636,1818000
33,33,Carpet Area,Resale,2024,Instant,0,1,Unfurnished,East,BHK,2,House,Nansad Surat,452,1951,881852
34,34,Super Area,Resale,2024,Instant,6,10,Semi-Furnished,East,BHK,2,Apartment,Adajan Surat,970,3093,3000210
35,35,Carpet Area,Resale,2024,Instant,3,5,Unfurnished,East,BHK,2,Apartment,Palanpur Surat,750,3304,2478000
36,36,Super Area,Resale,2024,Instant,2,4,Furnished,East,BHK,2,Apartment,Adajan Surat,1000,3951,3951000
37,37,Super Area,New Property,2025,February,7,14,Unfurnished,East,BHK,1,Apartment,Bhesan Road Surat,813,3567,2899971
38,38,Super Area,Resale,2024,Instant,5,5,Unfurnished,East,BHK,1,Apartment,Katar Gam Surat,550,3636,1999800
39,39,Super Area,Resale,2024,Instant,2,4,Furnished,North,BHK,2,Builder Floor,Nana Varachha Surat,1267,3946,4999582
40,40,Carpet Area,New Property,2024,Instant,0,1,Unfurnished,East,BHK,1,House,Sayan Surat,432,2315,1000080
41,41,Carpet Area,Resale,2024,Instant,3,5,Unfurnished,South,BHK,1,Apartment,Palanpur Surat,441,3509,1547469
42,42,Carpet Area,Resale,2024,Instant,2,5,Unfurnished,East,BHK,1,Apartment,Ram Pura Surat,605,2686,1625030
43,43,Super Area,Resale,2024,Instant,4,10,Semi-Furnished,East,BHK,2,Apartment,Nana Varachha Surat,1193,3269,3899917
44,44,Carpet Area,Resale,2024,Instant,4,4,Semi-Furnished,North,BHK,2,Penthouse,L P Savani Surat,1446,4006,5792676
45,45,Carpet Area,Resale,2024,Instant,2,4,Semi-Furnished,North,BHK,2,Apartment,Honey Park Surat,950,3043,2890850
46,46,Carpet Area,Resale,2024,Instant,5,6,Semi-Furnished,East,BHK,2,Apartment,503RIDDHI SIDDHI RESIDENCY Surat,750,3333,2499750
47,47,Super Area,Resale,2024,Instant,3,5,Unfurnished,East,BHK,2,Apartment,Rander Road Surat,1100,3455,3800500
48,48,Carpet Area,Resale,2024,Instant,2,5,Furnished,East,BHK,2,Builder Floor,devdhgam Surat,734,2749,2017766
49,49,Super Area,Resale,2024,Instant,4,4,Semi-Furnished,North,BHK,1,Apartment,Udhna Surat,550,2318,1274900
50,50,Carpet Area,Resale,2024,Instant,1,4,Semi-Furnished,East,BHK,2,Apartment,vraj vihar complex koli street adajan gam Surat,800,2500,2000000
51,51,Carpet Area,Resale,2024,Instant,4,4,Unfurnished,South,BHK,2,Apartment,Rustampura Surat,945,2787,2633715
52,52,Carpet Area,Resale,2024,Instant,0,3,Unfurnished,West,BHK,3,House,Navagam Surat,1200,2160,2592000
53,53,Super Area,Resale,2024,Instant,3,5,Unfurnished,East,BHK,2,Builder Floor,Adajan Surat,1200,2917,3500400
54,54,Carpet Area,Resale,2024,Instant,1,5,Furnished,East,BHK,2,Apartment,Amroli Surat,580,2436,1412880
55,55,Super Area,Resale,2024,Instant,4,4,Unfurnished,East,BHK,2,Builder Floor,Pasodara Surat,861,1220,1050420
56,56,Super Area,New Property,2024,Instant,4,4,Unfurnished,South,BHK,2,Builder Floor,Adajan Surat,1170,3248,3800160
57,57,Carpet Area,Resale,2024,Instant,2,7,Unfurnished,East,BHK,1,Apartment,suman ashish Surat,3,3429,10287
58,58,Super Area,Resale,2024,Instant,4,8,Unfurnished,North,BHK,2,Apartment,Palanpur Gam Surat,1200,3750,4500000
59,59,Carpet Area,Resale,2024,Instant,4,5,Furnished,East,BHK,2,Apartment,Rajhans Platinum,660,3932,2595120
60,60,Super Area,Resale,2024,Instant,1,6,Unfurnished,North,BHK,2,Apartment,Varachha Surat,990,3838,3799620
61,61,Carpet Area,Resale,2024,Instant,3,5,Unfurnished,South,BHK,2,Apartment,Pal Gam Surat,1000,3529,3529000
62,62,Super Area,Resale,2024,Instant,5,14,Unfurnished,East,BHK,2,Apartment,Swagat Clifton,1252,3594,4499688
63,63,Super Area,Resale,2024,Instant,0,1,Unfurnished,West,BHK,1,House,Dindoli Surat,504,3968,1999872
64,64,Carpet Area,Resale,2024,Instant,5,7,Furnished,East,BHK,2,Apartment,Piplod Surat,800,4167,3333600
65,65,Super Area,Resale,2024,Instant,8,12,Unfurnished,East,BHK,2,Apartment,Sangini Swaraj,1050,3714,3899700
66,66,Super Area,New Property,2024,July,7,12,Unfurnished,East,BHK,2,Apartment,Althan Surat,1241,3626,4499866
67,67,Super Area,New Property,2024,Instant,7,13,Unfurnished,East,BHK,3,Apartment,Penttagon Residency,1384,3505,4850920
68,68,Carpet Area,New Property,2024,Instant,0,1,Semi-Furnished,East,BHK,3,House,Dindoli Surat,532,6203,3299996
69,69,Carpet Area,Resale,2024,Instant,1,12,Furnished,East,BHK,2,Apartment,Palanpur Gam Surat,980,3281,3215380
70,70,Super Area,Resale,2024,Instant,3,4,Unfurnished,East,BHK,1,Builder Floor,Nan Pura Surat,650,3385,2200250
71,71,Super Area,Resale,2024,Instant,1,4,Unfurnished,East,BHK,1,Apartment,103 AjithNath Awas Surat,630,3333,2099790
72,72,Super Area,Resale,2024,Instant,2,5,Unfurnished,North,BHK,2,Apartment,Mota Varachha Surat,1312,3800,4985600
73,73,Carpet Area,Resale,2024,Instant,1,4,Semi-Furnished,North,BHK,2,Apartment,Swapna Srusthi Residency Plots,750,2722,2041500
74,74,Carpet Area,Resale,2024,Instant,3,9,Semi-Furnished,East,BHK,2,Apartment,Mahavir Residency,1326,3333,4419558
75,75,Super Area,Resale,2024,Instant,11,12,Semi-Furnished,East,BHK,2,Apartment,Stuti Empress,1250,3280,4100000
76,76,Super Area,Resale,2024,Instant,3,5,Furnished,East,BHK,2,Apartment,Parishram Park,970,3918,3800460
77,77,Carpet Area,Resale,2024,Instant,9,13,Furnished,South,BHK,2,Apartment,Ramaa Residency,650,3814,2479100
78,78,Super Area,Resale,2024,Instant,5,5,Unfurnished,North,BHK,2,Apartment,Kailash Nagar Surat,1000,3500,3500000
79,79,Super Area,Resale,2024,Instant,6,12,Unfurnished,East,BHK,2,Apartment,Nakshatra Solitaire,1203,3832,4609896
80,80,Super Area,Resale,2024,Instant,7,14,Unfurnished,East,BHK,2,Apartment,Siddhi Vinayak Heights,1200,3750,4500000
81,81,Carpet Area,Resale,2024,Instant,2,12,Furnished,East,BHK,2,Apartment,Vaidehi Heights,1050,3477,3650850
82,82,Carpet Area,Resale,2024,Instant,0,1,Unfurnished,East,BHK,2,House,Chalthan Surat,1450,2118,3071100
83,83,Carpet Area,Resale,2024,Instant,3,4,Furnished,South,BHK,1,Apartment,Angan Appartment Surat,695,3022,2100290
84,84,Super Area,Resale,2024,Instant,4,5,Unfurnished,East,BHK,1,Apartment,Ambika Township,630,2381,1500030
85,85,Super Area,Resale,2024,Instant,11,11,Furnished,East,BHK,1,Penthouse,Echo Point,1190,3613,4299470
86,86,Carpet Area,Resale,2024,Instant,3,4,Semi-Furnished,West,BHK,2,Apartment,Samruddhi Apartment,855,2527,2160585
87,87,Super Area,Resale,2024,Instant,6,10,Semi-Furnished,East,BHK,2,Apartment,Siddhi Vinayak Residency,1075,2512,2700400
88,88,Carpet Area,Resale,2024,Instant,8,13,Furnished,North,BHK,2,Apartment,Sumeru Sky Residency,800,4091,3272800
89,89,Super Area,Resale,2024,Instant,1,1,Unfurnished,North,BHK,2,House,Olpad Surat,900,3222,2899800
90,90,Super Area,Resale,2024,Instant,3,7,Furnished,East,BHK,2,Apartment,Nilkanth Seven Homes,1120,3260,3651200
91,91,Carpet Area,Resale,2024,Instant,7,7,Unfurnished,East,BHK,1,Apartment,star pavitra nagri kholvad Surat,400,2750,1100000
92,92,Super Area,New Property,2024,Instant,4,5,Semi-Furnished,North,BHK,2,Apartment,Jahangir Pura Surat,1187,2485,2949695
93,93,Carpet Area,Resale,2024,Instant,2,3,Unfurnished,East,BHK,1,Apartment,Kadodar Surat,680,2400,1632000
94,94,Carpet Area,Resale,2024,Instant,0,2,Furnished,South,BHK,2,Penthouse,Gruham Luxuria,12,76389,916668
